year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2015,18,40,50,0,43,84,67,49,64,79
2015,19,77,66,20,46,50,82,57,71,69
2015,20,18,67,48,47,41,73,64,81,63
2015,21,43,65,18,45,27,85,61,92,73
2015,22,63,71,18,44,35,100,47,76,62
2015,23,53,52,27,42,55,86,72,68,63
2015,24,78,69,25,46,0,86,23,80,76
2015,25,67,83,13,48,44,83,50,85,82
2015,26,42,66,19,50,49,75,57,70,81
2015,27,56,62,0,54,18,70,55,90,62
2015,28,52,66,28,55,18,61,52,71,73
2015,29,26,84,36,53,22,59,35,68,60
2015,30,29,63,41,50,14,71,38,61,54
2015,31,26,49,34,71,21,64,16,69,77
2015,32,44,52,0,50,15,62,46,70,74
2015,33,48,53,21,36,30,70,64,78,58
2015,34,16,54,53,41,45,66,43,66,54
2015,35,33,40,30,38,27,61,47,78,66
2015,36,45,57,35,35,13,56,51,61,52
2015,37,33,64,36,61,39,64,48,60,62
2015,38,55,68,12,42,35,69,49,61,62
2015,39,56,66,0,51,43,71,52,66,71
2015,40,64,70,30,43,21,71,37,65,56
2015,41,45,56,26,30,0,58,61,77,60
2015,42,47,68,25,34,27,62,62,72,71
2015,43,45,60,28,54,0,62,48,66,69
2015,44,58,61,38,46,39,65,55,76,54
2015,45,45,57,13,58,38,62,64,89,71
2015,46,47,61,32,56,34,61,38,70,77
2015,47,33,53,0,57,21,57,53,68,77
2015,48,48,67,0,100,96,69,53,72,60
2015,49,56,70,19,67,32,63,75,81,53
2015,50,64,96,21,44,100,70,69,81,92
2015,51,51,60,0,40,64,70,72,83,100
2015,52,100,100,17,62,50,88,100,89,64
2013,1,45,39,0,75,0,76,62,74,35
2014,1,48,62,0,50,28,79,77,76,27
2014,2,54,55,49,52,25,73,57,50,20
2014,3,50,42,43,38,38,86,84,79,25
2014,4,28,32,26,41,0,62,65,82,26
2014,5,13,34,55,43,48,79,94,62,37
2014,6,30,47,36,48,18,62,98,79,63
2014,7,32,41,23,45,63,62,60,76,60
2014,8,59,50,46,51,40,77,49,75,97
2014,9,47,49,0,59,99,59,61,58,100
2014,10,35,27,35,75,0,53,63,75,87
2014,11,25,26,0,100,24,62,35,55,59
2014,12,46,35,33,41,37,53,46,57,47
2014,13,43,39,100,59,31,66,59,75,60
2014,14,32,26,18,62,33,64,60,70,36
2014,15,61,36,0,61,28,50,42,65,42
2014,16,75,40,0,51,34,66,60,63,49
2014,17,40,42,48,55,31,61,57,61,55
2014,18,25,27,52,58,26,76,56,66,45
2014,19,31,36,0,52,0,73,78,75,48
2014,20,51,35,20,58,29,75,68,67,49
2014,21,48,51,31,53,100,78,45,67,46
2014,22,39,32,29,50,59,76,39,100,50
2014,23,62,53,0,49,40,77,57,62,39
2014,24,53,53,34,43,18,84,62,70,44
2014,25,44,47,17,41,44,83,50,53,46
2014,26,43,66,76,51,49,73,68,84,37
2014,27,94,100,0,57,30,100,72,70,37
2014,28,90,80,79,44,16,87,58,69,49
2014,29,100,84,61,35,0,91,48,34,59
2014,30,91,69,40,58,0,94,48,76,42
2014,31,78,77,0,42,21,78,13,56,47
2014,32,54,63,66,49,0,77,48,65,40
2014,33,85,69,50,51,36,86,61,64,38
2014,34,34,60,0,61,27,75,42,71,47
2014,35,35,44,0,48,28,66,66,47,27
2014,36,39,40,58,48,23,68,77,67,29
2014,37,28,36,45,49,0,63,100,52,36
2014,38,34,34,70,49,56,60,52,60,38
2014,39,28,44,38,51,31,57,70,52,31
2014,40,20,33,28,50,55,62,35,71,14
2014,41,44,30,58,60,31,55,45,79,30
2014,42,24,37,55,59,0,53,48,49,25
2014,43,33,38,0,50,38,48,16,53,36
2014,44,22,22,31,53,0,46,43,52,22
2014,45,21,27,0,76,25,56,46,73,30
2014,46,32,27,33,58,0,59,60,53,23
2014,47,35,34,0,51,33,58,41,50,30
2014,48,33,32,83,57,41,58,65,41,32
2014,49,27,35,0,49,0,63,36,68,27
2014,50,31,23,43,53,90,60,63,67,23
2014,51,21,22,0,63,49,58,70,64,26
2014,52,29,30,0,46,0,62,45,52,34
2012,1,7,5,0,66,34,57,75,59,28
2013,2,15,12,64,49,0,56,51,63,25
2013,3,20,11,0,56,49,48,54,43,24
2013,4,16,13,17,44,0,54,100,14,25
2013,5,17,11,0,30,0,56,31,62,26
2013,6,20,11,40,45,0,46,83,81,25
2013,7,24,12,44,55,69,55,82,68,36
2013,8,16,13,52,42,0,55,37,63,37
2013,9,19,15,45,41,0,50,79,52,35
2013,10,22,15,23,32,32,59,41,40,33
2013,11,15,12,39,34,65,50,82,77,31
2013,12,11,8,31,38,26,46,64,76,32
2013,13,19,15,28,41,32,42,83,71,43
2013,14,21,18,19,38,0,66,75,80,33
2013,15,44,34,37,36,32,77,76,87,46
2013,16,39,33,29,38,88,61,62,72,47
2013,17,23,29,33,41,59,58,84,60,53
2013,18,52,40,0,34,33,72,68,63,49
2013,19,38,34,18,38,74,72,74,71,58
2013,20,30,30,29,30,0,57,42,61,44
2013,21,22,27,16,43,0,61,71,83,36
2013,22,71,60,65,40,93,88,81,66,48
2013,23,62,55,0,43,54,80,29,83,38
2013,24,100,100,41,34,91,100,66,81,100
2013,25,71,75,0,64,81,76,76,62,66
2013,26,50,46,46,100,51,62,71,73,35
2013,27,43,46,0,35,35,69,73,51,43
2013,28,39,33,0,40,0,55,37,64,49
2013,29,30,29,18,40,100,54,82,76,41
2013,30,18,24,43,35,0,55,45,72,39
2013,31,18,20,0,38,34,51,71,64,42
2013,32,16,20,25,38,0,52,26,60,45
2013,33,21,24,36,37,94,54,53,85,44
2013,34,24,23,0,30,55,56,68,80,28
2013,35,25,21,0,33,73,54,66,64,40
2013,36,18,14,0,44,64,42,29,56,30
2013,37,22,21,20,38,80,56,74,53,30
2013,38,16,19,20,35,0,54,72,87,36
2013,39,19,15,0,34,65,50,50,100,22
2013,40,28,26,0,35,43,58,56,79,28
2013,41,17,23,51,39,54,58,56,84,29
2013,42,19,18,0,40,60,54,53,89,34
2013,43,22,31,0,32,46,54,44,59,37
2013,44,25,21,40,44,62,57,35,50,24
2013,45,23,21,0,66,0,59,55,70,31
2013,46,24,20,25,42,0,54,79,65,32
2013,47,19,25,0,42,93,56,78,65,42
2013,48,17,20,55,44,50,50,71,65,30
2013,49,11,19,26,43,0,60,79,62,34
2013,50,13,16,21,33,44,47,64,76,38
2013,51,20,17,0,40,29,58,91,75,34
2013,52,15,15,100,37,46,55,99,53,32
2012,2,39,61,0,59,0,95,80,85,48
2012,3,53,50,100,52,0,94,90,76,61
2012,4,43,49,53,53,34,75,79,71,55
2012,5,49,52,67,52,0,78,14,76,58
2012,6,61,60,0,56,0,90,41,67,70
2012,7,41,49,0,47,26,93,71,62,94
2012,8,33,49,0,50,0,87,50,75,32
2012,9,37,67,31,47,0,91,100,63,46
2012,10,41,41,0,52,90,90,69,81,47
2012,11,52,40,39,54,0,93,55,63,36
2012,12,31,26,56,58,0,80,33,57,67
2012,13,64,50,66,49,44,92,46,68,78
2012,14,73,56,29,59,52,86,65,63,100
2012,15,79,0,26,66,0,74,58,63,78
2012,16,45,40,43,73,0,94,44,83,89
2012,17,35,37,60,75,0,78,41,80,89
